3201000010736,FRESNILLO,FRESNILLO,IMPRESIONISTAS
3201000010737,FRESNILLO,FRESNILLO,INDUSTRIAL
3201000010740,FRESNILLO,FRESNILLO,GONZÁLEZ ORTEGA
3201000010741,FRESNILLO,FRESNILLO,JOSÉ MA. VAZQUEZ
3201000010742,FRESNILLO,FRESNILLO,LA JOYA
3201000010743,FRESNILLO,FRESNILLO,LASALLE
3201000010744,FRESNILLO,FRESNILLO,LÁZARO CARDENAS
3201000010746,FRESNILLO,FRESNILLO,LIENZO CHARRO
3201000010747,FRESNILLO,FRESNILLO,LINDAVISTA
3201000010748,FRESNILLO,FRESNILLO,FORTUNA
3201000010749,FRESNILLO,FRESNILLO,LOMAS DE PLATEROS
3201000010750,FRESNILLO,FRESNILLO,LUIS DONALDO COLOSIO
3201000010751,FRESNILLO,FRESNILLO,UNIDAD Y ESFUERZO MAGISTERIAL
3201000010752,FRESNILLO,FRESNILLO,MAGISTERIAL
3201000010754,FRESNILLO,FRESNILLO,EL OLIVAR
3201000010755,FRESNILLO,FRESNILLO,MARAVILLAS
3201000010756,FRESNILLO,FRESNILLO,MESOAMÉRICA
3201000010757,FRESNILLO,FRESNILLO,MÉXICO
3201000010758,FRESNILLO,FRESNILLO,MIGUEL HIDALGO
3201000010759,FRESNILLO,FRESNILLO,MINERA
3201000010761,FRESNILLO,FRESNILLO,MURALISTAS
3201000010762,FRESNILLO,FRESNILLO,GOMEZ SADA
3201000010764,FRESNILLO,FRESNILLO,OBRERA
3201000010765,FRESNILLO,FRESNILLO,LOS OLIVOS
3201000010767,FRESNILLO,FRESNILLO,NINGUNO
3201000010768,FRESNILLO,FRESNILLO,PATRIA Y LIBERTAD
3201000010769,FRESNILLO,FRESNILLO,LA PAZ
3201000010770,FRESNILLO,FRESNILLO,PERIODISTAS
3201000010771,FRESNILLO,FRESNILLO,PETROLEOS
3201000010772,FRESNILLO,FRESNILLO,PLAN DE AYALA
3201000010774,FRESNILLO,FRESNILLO,POLVAREDAS
3201000010776,FRESNILLO,FRESNILLO,PROGRESO
3201000010777,FRESNILLO,FRESNILLO,PROVIDENCIA
3201000010778,FRESNILLO,FRESNILLO,QUINTA DEL COBRE
